"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"IGFBP5",5.4801378633487e-248,-2.03449553711943,0.093,0.362,1.64404135900461e-244,"Neuromesodermal progenitors","IGFBP5"
"MAGED2",1.96046333279383e-246,-1.94682723739293,0.255,0.466,5.8813899983815e-243,"Neuromesodermal progenitors","MAGED2"
"CDH8",5.90149507255222e-245,6.03419733880404,0.371,0.131,1.77044852176567e-241,"Neuromesodermal progenitors","CDH8"
"EFEMP2",1.62111899204146e-244,-3.17650445809242,0.097,0.293,4.86335697612437e-241,"Neuromesodermal progenitors","EFEMP2"
"CD164",1.64486482898872e-244,-6.47278045656595,0.199,0.408,4.93459448696616e-241,"Neuromesodermal progenitors","CD164"
"NQO1",3.93283505878577e-241,-6.93322450640488,0.11,0.279,1.17985051763573e-237,"Neuromesodermal progenitors","NQO1"
"HMGCS1",4.39753794278392e-241,1.24278030318152,0.566,0.346,1.31926138283517e-237,"Neuromesodermal progenitors","HMGCS1"
"BGN",8.02971891782975e-240,-3.43899086493311,0.089,0.295,2.40891567534893e-236,"Neuromesodermal progenitors","BGN"
"PRDM1",4.21662482658028e-239,-1.7305694704264,0.434,0.16,1.26498744797408e-235,"Neuromesodermal progenitors","PRDM1"
"PDLIM4",1.04724492531057e-233,-4.14689669718675,0.23,0.408,3.1417347759317e-230,"Neuromesodermal progenitors","PDLIM4"
"HNRNPM",1.27734999821487e-232,0.87298070120874,0.618,0.387,3.8320499946446e-229,"Neuromesodermal progenitors","HNRNPM"
"RFLNB",2.03666753628199e-232,1.91262180622138,0.425,0.204,6.11000260884596e-229,"Neuromesodermal progenitors","RFLNB"
"RRM2B",5.43869744992827e-231,0.787830150144546,0.478,0.272,1.63160923497848e-227,"Neuromesodermal progenitors","RRM2B"
"FDPS",7.01498992069056e-231,0.63402210036753,0.615,0.392,2.10449697620717e-227,"Neuromesodermal progenitors","FDPS"
"PRKDC",8.17992446677983e-231,0.575286797166507,0.615,0.39,2.45397734003395e-227,"Neuromesodermal progenitors","PRKDC"
"ANP32E",1.50781428896109e-230,0.748086734988694,0.612,0.393,4.52344286688328e-227,"Neuromesodermal progenitors","ANP32E"
"RBP1",2.58357938086928e-229,-3.26073886329555,0.573,0.345,7.75073814260783e-226,"Neuromesodermal progenitors","RBP1"
"SPARCL1",6.48791139840889e-229,4.98009176746607,0.448,0.126,1.94637341952267e-225,"Neuromesodermal progenitors","SPARCL1"
"KRT8",1.00389875090663e-228,-1.76271418979439,0.082,0.326,3.0116962527199e-225,"Neuromesodermal progenitors","KRT8"
"CKS1B",3.94884246348911e-227,5.57994356889117,0.625,0.396,1.18465273904673e-223,"Neuromesodermal progenitors","CKS1B"
"KDM5B",8.47422316048439e-227,-7.66449894827917,0.255,0.462,2.54226694814532e-223,"Neuromesodermal progenitors","KDM5B"
"CMBL",9.80376589028984e-226,0.713801479585723,0.535,0.343,2.94112976708695e-222,"Neuromesodermal progenitors","CMBL"
"COLEC12",4.53207452213287e-220,-3.57734140138237,0.076,0.309,1.35962235663986e-216,"Neuromesodermal progenitors","COLEC12"
"TMPO",8.17295067154494e-220,0.41981700570029,0.613,0.394,2.45188520146348e-216,"Neuromesodermal progenitors","TMPO"
"MCM4",3.20542005232658e-217,0.870841693092697,0.575,0.343,9.61626015697973e-214,"Neuromesodermal progenitors","MCM4"
"HSPB1",3.79562117444344e-215,-5.09809645655068,0.24,0.449,1.13868635233303e-211,"Neuromesodermal progenitors","HSPB1"
"DHRS7",1.25966152042413e-214,-2.95378829084778,0.23,0.39,3.7789845612724e-211,"Neuromesodermal progenitors","DHRS7"
"TUBA1A",9.71384066850242e-214,-0.281489686885062,0.588,0.381,2.91415220055073e-210,"Neuromesodermal progenitors","TUBA1A"
"HSP90AB1",3.8539687295256e-213,-6.14189014583582,0.661,0.443,1.15619061885768e-209,"Neuromesodermal progenitors","HSP90AB1"
"DNAJA1",1.89921839696705e-212,-2.4388053563302,0.605,0.395,5.69765519090114e-209,"Neuromesodermal progenitors","DNAJA1"
"HSPH1",1.67085444019052e-211,-5.24761120450089,0.585,0.36,5.01256332057156e-208,"Neuromesodermal progenitors","HSPH1"
"EIF1",3.46557284573786e-211,-3.51853641468976,0.243,0.449,1.03967185372136e-207,"Neuromesodermal progenitors","EIF1"
"SNHG8",7.49517699001655e-211,-5.86030973864856,0.254,0.452,2.24855309700496e-207,"Neuromesodermal progenitors","SNHG8"
"RBMS1",2.55965029389575e-210,-2.51110350447448,0.246,0.434,7.67895088168725e-207,"Neuromesodermal progenitors","RBMS1"
"F3",1.3254575968351e-209,-0.426618094671706,0.405,0.127,3.97637279050529e-206,"Neuromesodermal progenitors","F3"
"HOXA-AS3",5.95405391971181e-209,0.921223088424377,0.465,0.172,1.78621617591354e-205,"Neuromesodermal progenitors","HOXA-AS3"
"ANXA2",4.23627382449256e-208,-2.59030994027689,0.201,0.408,1.27088214734777e-204,"Neuromesodermal progenitors","ANXA2"
"FLRT3",1.95211396749337e-207,-7.20074678327608,0.046,0.276,5.8563419024801e-204,"Neuromesodermal progenitors","FLRT3"
"RHOBTB3",2.51032773523093e-207,-4.68482067697192,0.213,0.398,7.53098320569278e-204,"Neuromesodermal progenitors","RHOBTB3"
"TMSB15A",1.50091852743605e-204,-0.800749581803873,0.597,0.393,4.50275558230814e-201,"Neuromesodermal progenitors","TMSB15A"
"PHLDA3",2.34375467258432e-204,-6.52312286828394,0.575,0.337,7.03126401775296e-201,"Neuromesodermal progenitors","PHLDA3"
"ASXL3",9.40496645246353e-204,2.572852948739,0.437,0.177,2.82148993573906e-200,"Neuromesodermal progenitors","ASXL3"
"SPATS2L",1.9693817490157e-203,-5.34675762871476,0.158,0.336,5.90814524704709e-200,"Neuromesodermal progenitors","SPATS2L"
"B2M",1.08099411552095e-200,-4.57938234191837,0.218,0.415,3.24298234656284e-197,"Neuromesodermal progenitors","B2M"
"SESN3",4.87275586846237e-200,-3.15324220827923,0.222,0.411,1.46182676053871e-196,"Neuromesodermal progenitors","SESN3"
"COL5A2",1.35023119643411e-199,-4.54107397075654,0.14,0.317,4.05069358930234e-196,"Neuromesodermal progenitors","COL5A2"
"HSPA5",5.31750137992507e-199,-3.89189203250943,0.193,0.41,1.59525041397752e-195,"Neuromesodermal progenitors","HSPA5"
"BBS9",7.26634605307799e-199,-7.56585294152613,0.499,0.305,2.1799038159234e-195,"Neuromesodermal progenitors","BBS9"
"BNIP3",1.72180373810037e-198,-7.86494911232423,0.258,0.442,5.16541121430111e-195,"Neuromesodermal progenitors","BNIP3"
"SRSF7",2.17896172606963e-198,-2.51624162288403,0.606,0.395,6.5368851782089e-195,"Neuromesodermal progenitors","SRSF7"
"RGS5",3.25316573038551e-198,-2.37512953151804,0.133,0.278,9.75949719115653e-195,"Neuromesodermal progenitors","RGS5"
"MIR503HG",4.48642974976581e-198,-0.702637867110013,0.038,0.256,1.34592892492974e-194,"Neuromesodermal progenitors","MIR503HG"
"HIST1H1A",6.38603996038989e-198,1.45324229396848,0.355,0.111,1.91581198811697e-194,"Neuromesodermal progenitors","HIST1H1A"
"TMED9",7.3667538165521e-198,-3.2752512405386,0.237,0.44,2.21002614496563e-194,"Neuromesodermal progenitors","TMED9"
"HLA-A",2.270929927352e-196,-2.52794980925445,0.232,0.432,6.81278978205599e-193,"Neuromesodermal progenitors","HLA-A"
"MSI2",1.52156378487911e-195,1.0188471838042,0.571,0.362,4.56469135463733e-192,"Neuromesodermal progenitors","MSI2"
"APLP2",2.60204364071497e-189,-1.76710701096024,0.252,0.451,7.8061309221449e-186,"Neuromesodermal progenitors","APLP2"
"ZMAT4",3.37633152897136e-189,-4.1468665141917,0.336,0.162,1.01289945869141e-185,"Neuromesodermal progenitors","ZMAT4"
"TNFRSF12A",5.16577532702329e-189,-5.7217243407449,0.129,0.269,1.54973259810699e-185,"Neuromesodermal progenitors","TNFRSF12A"
"KCNQ1OT1",2.50315557706683e-188,-2.7493603242576,0.185,0.387,7.5094667312005e-185,"Neuromesodermal progenitors","KCNQ1OT1"
"CDKN1C",2.3397201629259e-187,-3.69066496844497,0.151,0.354,7.01916048877769e-184,"Neuromesodermal progenitors","CDKN1C"
"LOXL2",3.17546908769098e-186,-4.33911220473316,0.195,0.318,9.52640726307295e-183,"Neuromesodermal progenitors","LOXL2"
"SEPTIN6",3.80320424706173e-186,-3.01723195290649,0.238,0.415,1.14096127411852e-182,"Neuromesodermal progenitors","SEPTIN6"
"LAMB1",5.11330029596393e-184,-5.0035658665992,0.24,0.387,1.53399008878918e-180,"Neuromesodermal progenitors","LAMB1"
"KIF15",5.20711946096435e-184,0.883551155520344,0.546,0.319,1.5621358382893e-180,"Neuromesodermal progenitors","KIF15"
"CNKSR3",1.02748923125781e-183,-3.75633203700862,0.536,0.326,3.08246769377342e-180,"Neuromesodermal progenitors","CNKSR3"
"KIF21A",8.11655136084963e-183,-1.83788188998298,0.51,0.341,2.43496540825489e-179,"Neuromesodermal progenitors","KIF21A"
"SH3KBP1",1.36704573732491e-182,-4.5378366241127,0.087,0.274,4.10113721197473e-179,"Neuromesodermal progenitors","SH3KBP1"
"WLS",1.21783820819443e-181,-4.32697971253369,0.235,0.416,3.6535146245833e-178,"Neuromesodermal progenitors","WLS"
"CDKN1A",1.10749418410196e-180,-7.54593992812855,0.523,0.302,3.32248255230587e-177,"Neuromesodermal progenitors","CDKN1A"
"TLE4",1.24272227138661e-180,1.56719843325441,0.548,0.346,3.72816681415983e-177,"Neuromesodermal progenitors","TLE4"
"TMEM47",1.71600672100788e-180,-0.752094219717809,0.466,0.306,5.14802016302365e-177,"Neuromesodermal progenitors","TMEM47"
"HSP90B1",2.14233803119432e-180,-3.17750037960506,0.262,0.467,6.42701409358297e-177,"Neuromesodermal progenitors","HSP90B1"
"GLUL",3.19586564081337e-179,-4.96127233387803,0.585,0.387,9.58759692244011e-176,"Neuromesodermal progenitors","GLUL"
"PLS3",5.77433172142056e-178,-5.77961383282856,0.259,0.398,1.73229951642617e-174,"Neuromesodermal progenitors","PLS3"
"TIMP1",6.001720065264e-178,-5.51186477599815,0.254,0.448,1.8005160195792e-174,"Neuromesodermal progenitors","TIMP1"
"FDFT1",2.98400265816205e-177,-3.6741841834918,0.592,0.401,8.95200797448616e-174,"Neuromesodermal progenitors","FDFT1"
"CCN2",3.19767511137697e-177,-3.83592081605999,0.159,0.306,9.59302533413092e-174,"Neuromesodermal progenitors","CCN2"
"TCEAL9",7.56805912923484e-177,-3.97957076236371,0.229,0.401,2.27041773877045e-173,"Neuromesodermal progenitors","TCEAL9"
"PCNA",8.99043119036203e-177,0.652502335650915,0.579,0.361,2.69712935710861e-173,"Neuromesodermal progenitors","PCNA"
"TLE1",3.27568257839712e-176,-8.9203934238814,0.236,0.371,9.82704773519135e-173,"Neuromesodermal progenitors","TLE1"
"JDP2",1.9172511131516e-175,-9.3811302997285,0.163,0.306,5.75175333945481e-172,"Neuromesodermal progenitors","JDP2"
"YPEL5",2.11001062770223e-175,-8.26852187276972,0.151,0.337,6.33003188310669e-172,"Neuromesodermal progenitors","YPEL5"
"GNG11",3.49028378798205e-175,-5.2490738678023,0.101,0.303,1.04708513639461e-171,"Neuromesodermal progenitors","GNG11"
"MXRA8",1.4931677395017e-174,-2.65328829462318,0.088,0.251,4.47950321850511e-171,"Neuromesodermal progenitors","MXRA8"
"IRX1",1.5653650761314e-171,-1.21433167006436,0.3,0.164,4.69609522839421e-168,"Neuromesodermal progenitors","IRX1"
"ACTG1",1.46591008941782e-170,-1.94571875193066,0.254,0.441,4.39773026825345e-167,"Neuromesodermal progenitors","ACTG1"
"HACD1",1.81375346168916e-170,-3.36272936531719,0.172,0.28,5.44126038506749e-167,"Neuromesodermal progenitors","HACD1"
"ITM2A",9.82841258165815e-170,-3.14102898410917,0.057,0.258,2.94852377449745e-166,"Neuromesodermal progenitors","ITM2A"
"SELENOM",7.89816252648617e-169,-5.60048179868971,0.218,0.394,2.36944875794585e-165,"Neuromesodermal progenitors","SELENOM"
"KRT18",9.01484869866605e-169,-1.5557440734997,0.099,0.336,2.70445460959982e-165,"Neuromesodermal progenitors","KRT18"
"OPTN",2.78182707207313e-168,-4.66445838367713,0.11,0.301,8.34548121621940e-165,"Neuromesodermal progenitors","OPTN"
"ITM2C",7.81653470626605e-168,-3.08171454949108,0.242,0.414,2.34496041187982e-164,"Neuromesodermal progenitors","ITM2C"
"DTYMK",1.34897872994608e-167,2.3395971463972,0.582,0.393,4.04693618983823e-164,"Neuromesodermal progenitors","DTYMK"
"NEXN",9.67484262592879e-167,-5.72439988590797,0.186,0.297,2.90245278777864e-163,"Neuromesodermal progenitors","NEXN"
"PPP3CA",2.69410757288511e-166,-4.6737267565986,0.181,0.347,8.08232271865534e-163,"Neuromesodermal progenitors","PPP3CA"
"BCAM",3.1785742036415e-165,-6.51894366422966,0.142,0.301,9.5357226109245e-162,"Neuromesodermal progenitors","BCAM"
"CAMK2N1",5.49712779177735e-165,-0.633921586350831,0.51,0.321,1.64913833753321e-161,"Neuromesodermal progenitors","CAMK2N1"
"FAM114A1",9.2856146069922e-165,-3.97737336083352,0.115,0.323,2.78568438209766e-161,"Neuromesodermal progenitors","FAM114A1"
"RIPOR2",3.56907958431208e-164,-6.24568679132203,0.426,0.243,1.07072387529363e-160,"Neuromesodermal progenitors","RIPOR2"
"MXD4",7.42676963027615e-162,-2.88540680030261,0.226,0.396,2.22803088908285e-158,"Neuromesodermal progenitors","MXD4"
"SEC61B",1.5457180668956e-161,-4.05023471381982,0.292,0.467,4.6371542006868e-158,"Neuromesodermal progenitors","SEC61B"
"CCN1",9.05264499017544e-161,-0.856260458178375,0.182,0.335,2.71579349705263e-157,"Neuromesodermal progenitors","CCN1"
"TWIST1",2.50885368395e-160,-5.80109879287524,0.068,0.272,7.52656105184999e-157,"Neuromesodermal progenitors","TWIST1"
"ASCC3",1.2108733631504e-159,0.305508525745907,0.513,0.341,3.6326200894512e-156,"Neuromesodermal progenitors","ASCC3"
"ATP6V1G1",2.58620356137345e-158,-6.38427219305737,0.291,0.476,7.75861068412034e-155,"Neuromesodermal progenitors","ATP6V1G1"
"COL11A1",9.94505863436274e-158,-5.72512316069467,0.219,0.349,2.98351759030882e-154,"Neuromesodermal progenitors","COL11A1"
"EPHX1",4.88816479879783e-156,-8.04107611176425,0.104,0.266,1.46644943963935e-152,"Neuromesodermal progenitors","EPHX1"
"SESN1",5.05074624586954e-156,-6.66547337106562,0.502,0.321,1.51522387376086e-152,"Neuromesodermal progenitors","SESN1"
"CRMP1",3.19402481958229e-155,0.696181234638421,0.513,0.299,9.58207445874686e-152,"Neuromesodermal progenitors","CRMP1"
"SERPINH1",6.0724335776192e-155,-7.06225030580467,0.276,0.444,1.82173007328576e-151,"Neuromesodermal progenitors","SERPINH1"
"ALCAM",9.17516398657777e-155,-3.45031221311543,0.085,0.266,2.75254919597333e-151,"Neuromesodermal progenitors","ALCAM"
"IFT20",1.19256382042056e-154,-3.39375422051276,0.158,0.333,3.57769146126168e-151,"Neuromesodermal progenitors","IFT20"
"CLSPN",2.02315191915543e-154,-0.464228292424207,0.556,0.351,6.06945575746628e-151,"Neuromesodermal progenitors","CLSPN"
"COL1A1",2.85742631823526e-154,-2.8176928629033,0.129,0.289,8.57227895470577e-151,"Neuromesodermal progenitors","COL1A1"
"PNN",1.26054592043536e-153,-1.4062791294236,0.603,0.427,3.78163776130607e-150,"Neuromesodermal progenitors","PNN"
"RPL41",1.60033228033911e-153,0.278676759062139,0.651,0.457,4.80099684101732e-150,"Neuromesodermal progenitors","RPL41"
"FRZB",2.54571609795377e-150,-6.56074398157395,0.115,0.31,7.63714829386132e-147,"Neuromesodermal progenitors","FRZB"
"HMGB3",2.91405294087065e-149,-6.64581211451506,0.584,0.393,8.74215882261194e-146,"Neuromesodermal progenitors","HMGB3"
"PGM1",1.67112357685084e-148,-6.66608013717579,0.224,0.368,5.01337073055253e-145,"Neuromesodermal progenitors","PGM1"
"ITGB1",1.79567538554095e-147,-3.34666536150487,0.26,0.443,5.38702615662284e-144,"Neuromesodermal progenitors","ITGB1"
"IGFBPL1",4.26451224788611e-147,-3.79318430673937,0.444,0.27,1.27935367436583e-143,"Neuromesodermal progenitors","IGFBPL1"
"NUSAP1",6.87476276987696e-147,-1.68386812772204,0.557,0.36,2.06242883096309e-143,"Neuromesodermal progenitors","NUSAP1"
"STMN3",7.53947218811572e-147,-2.40996426779633,0.275,0.114,2.26184165643472e-143,"Neuromesodermal progenitors","STMN3"
"ANXA11",9.39874584345033e-147,-4.36191888281533,0.125,0.303,2.8196237530351e-143,"Neuromesodermal progenitors","ANXA11"
"TSPAN7",1.77674981750348e-146,-7.58842298709386,0.12,0.286,5.33024945251045e-143,"Neuromesodermal progenitors","TSPAN7"
"AHNAK",1.59687975218673e-145,-6.78970140243439,0.212,0.344,4.7906392565602e-142,"Neuromesodermal progenitors","AHNAK"
"METRN",1.95520743962889e-145,0.54889309730068,0.565,0.387,5.86562231888666e-142,"Neuromesodermal progenitors","METRN"
"BMP4",2.70991899210647e-145,-2.89899941139469,0.101,0.262,8.1297569763194e-142,"Neuromesodermal progenitors","BMP4"
"ENO1",4.3689305660198e-145,-3.15936051861985,0.593,0.42,1.31067916980594e-141,"Neuromesodermal progenitors","ENO1"
"PDLIM7",9.13442621057947e-145,-3.29835300653039,0.28,0.415,2.74032786317384e-141,"Neuromesodermal progenitors","PDLIM7"
"ANKRD18A",1.09584803958439e-144,-0.665280769475772,0.349,0.193,3.28754411875316e-141,"Neuromesodermal progenitors","ANKRD18A"
"RRAS",1.43711743096632e-144,-1.61553679413386,0.278,0.386,4.31135229289897e-141,"Neuromesodermal progenitors","RRAS"
"TGFB1",3.4085800025509e-144,-8.10521994185159,0.07,0.302,1.02257400076527e-140,"Neuromesodermal progenitors","TGFB1"
"UBE2H",3.68832323167541e-144,-8.81861046906878,0.26,0.418,1.10649696950262e-140,"Neuromesodermal progenitors","UBE2H"
"TMEM97",1.20623005684578e-143,-0.683351436552463,0.581,0.403,3.61869017053733e-140,"Neuromesodermal progenitors","TMEM97"
"HYMAI",7.69887277041881e-143,-0.660583164883897,0.362,0.18,2.30966183112564e-139,"Neuromesodermal progenitors","HYMAI"
"MCM3",8.1960498497932e-143,0.603265631385095,0.559,0.369,2.45881495493796e-139,"Neuromesodermal progenitors","MCM3"
